Q Value,Bot1 Result,Bot1 Position,Bot2 Result,Bot2 Position,Bot3 Result,Bot3 Position,Bot4 Result,Bot4 Position,Button Position,Fire Position
0.6,Success,"(30, 32)",Success,"(30, 32)",Failure,"(30, 32)",Success,"(30, 32)","(22, 1)","(17, 38)"
0.6,Success,"(20, 13)",Success,"(20, 13)",Success,"(20, 13)",Success,"(20, 13)","(15, 32)","(35, 18)"
0.6,Success,"(26, 30)",Success,"(26, 30)",Success,"(26, 30)",Success,"(26, 30)","(38, 21)","(30, 26)"
0.6,Failure,"(36, 6)",Success,"(36, 6)",Failure,"(36, 6)",Failure,"(36, 6)","(16, 22)","(4, 25)"
0.6,Failure,"(3, 27)",Failure,"(3, 27)",Failure,"(3, 27)",Failure,"(3, 27)","(27, 17)","(25, 12)"
0.6,Success,"(30, 14)",Success,"(30, 14)",Success,"(30, 14)",Success,"(30, 14)","(20, 7)","(5, 35)"
0.6,Success,"(35, 36)",Failure,"(35, 36)",Failure,"(35, 36)",Success,"(35, 36)","(9, 26)","(28, 20)"
0.6,Success,"(2, 1)",Success,"(2, 1)",Success,"(2, 1)",Success,"(2, 1)","(18, 23)","(32, 3)"
0.6,Success,"(36, 11)",Success,"(36, 11)",Success,"(36, 11)",Success,"(36, 11)","(24, 7)","(35, 29)"
0.6,Failure,"(2, 15)",Failure,"(2, 15)",Failure,"(2, 15)",Failure,"(2, 15)","(23, 22)","(16, 15)"
0.6,Success,"(30, 36)",Success,"(30, 36)",Success,"(30, 36)",Success,"(30, 36)","(1, 2)","(5, 27)"
0.6,Success,"(33, 19)",Success,"(33, 19)",Success,"(33, 19)",Success,"(33, 19)","(11, 10)","(37, 17)"
0.6,Success,"(14, 33)",Success,"(14, 33)",Success,"(14, 33)",Success,"(14, 33)","(14, 29)","(2, 38)"
0.6,Success,"(19, 17)",Success,"(19, 17)",Success,"(19, 17)",Success,"(19, 17)","(18, 21)","(37, 19)"
0.6,Failure,"(6, 32)",Failure,"(6, 32)",Failure,"(6, 32)",Failure,"(6, 32)","(13, 22)","(10, 29)"
0.6,Failure,"(34, 32)",Success,"(34, 32)",Success,"(34, 32)",Failure,"(34, 32)","(37, 9)","(9, 10)"
